,course_code,department,total_labs,lab_1,lab_2,lab_3,lab_4,lab_5,course_name
29,AT23332,Automobile Engineering,2,Thermal Lab 1,Thermal Lab 2,,,,Applied Thermodynamics
30,AT23431,Automobile Engineering,1,Automotive Components Lab,,,,,Automotive Drive Line and Chassis
31,AT23531,Automobile Engineering,3,Technical Analysis Lab,Electrical Machines I Lab,Electrical Machines II Lab,,,Automotive Electrical and Electronics
32,AT23331,Automobile Engineering,2,Thermal Lab 1,Thermal Lab 2,,,,Automotive Engines
33,AT23633,Automobile Engineering,1,Vehicle Maintenance Lab,,,,,Automotive Fuels and Lubricants
34,AT23631,Automobile Engineering,1,Auto CAD Lab,,,,,Automotive System Design
35,AT19723,Automobile Engineering,1,Vehicle Maintenance Lab,,,,,Comprehension
36,AT23723,Automobile Engineering,1,Auto CAD Lab,,,,,Computer Aided Analysis laboratory
37,AT23432,Automobile Engineering,1,Fluid Mechanics Lab,,,,,Fluid Mechanics and Machinery for Automobile Engineers
38,AT23334,Automobile Engineering,2,Manufacturing Technology II,Manufacturing Technology I,,,,Production Technology - II
39,GE23231,Automobile Engineering,1,Auto CAD Lab,,,,,Programming Using Python
40,AT19713,Automobile Engineering,1,Vehicle Maintenance Lab,,,,,Project Phase I
41,AT23333,Automobile Engineering,1,Strength of Materials Lab,,,,,Strength of Materials for Automobile Engineers
42,AT23433,Automobile Engineering,1,Fluid Mechanics Lab,,,,,Theory of Machines
43,AT23521,Automobile Engineering,1,Automotive Components Lab,,,,,Two and Three wheelers Laboratory
44,AT23632,Automobile Engineering,1,Auto CAD Lab,,,,,Vehicle Dynamics
45,AT23722,Automobile Engineering,1,Automotive Components Lab,,,,,Vehicle Maintenance Laboratory
46,AT19721,Automobile Engineering,1,Vehicle Maintenance Lab,,,,,Vehicle Maintenance Laboratory
47,BM23421,Biomedical Engineering,1,Electronics and Instrumentation,,,,,Analog and Digital Integrated Circuits Laboratory
48,BM23721,Biomedical Engineering,1,Diagnostic and Therapeutic Equipment Lab,,,,,Artificial Intelligence and Machine learning for Biomedical Engineering
49,BM23321,Biomedical Engineering,1,Immunology Lab,Biochemistry Lab,,,,Biochemistry and Physiology Laboratory
50,MX23121,Biomedical Engineering,1,Diagnostic and Therapeutic Equipment Lab,,,,,Biomedical Instrumentation Lab
51,BM23322,Biomedical Engineering,1,Diagnostic and Therapeutic Equipment Lab,,,,,Biomedical Instrumentation Laboratory
52,MX23131,Biomedical Engineering,1,Medical Image Processing Lab,,,,,Biosignal Acquisition and Processing
53,BM23631,Biomedical Engineering,1,Medical Image Processing Lab,,,,,Biosignal Processing
54,CY23131,Biomedical Engineering,1,Chemistry Lab,,,,,Chemistry For Electronics Engineering
55,BM23521,Biomedical Engineering,1,Diagnostic and Therapeutic Equipment Lab,,,,,Diagnostic and Therapeutic Equipment Laboratory
56,BM19741,Biomedical Engineering,1,Medical Image Processing Lab,,,,,Digital Image Processing Techniques
57,BM23231,Biomedical Engineering,1,Engineering Practices Lab (Electronics),,,,,Electric Circuits and Machines
58,BM23331,Biomedical Engineering,1,Electronics and Instrumentation,,,,,Electronic Devices & Circuits
59,BM19712,Biomedical Engineering,1,Diagnostic and Therapeutic Equipment Lab,,,,,Hospital Training
60,BM23731,Biomedical Engineering,1,Medical Image Processing Lab,,,,,Medical Image Processing
61,BM23532,Biomedical Engineering,2,Microprocessor Lab-1,Microprocessor Lab-2,,,,Microcontroller and Embedded System Design
62,BM23422,Biomedical Engineering,1,Medical Image Processing Lab,,,,,PCB Design Laboratory
63,BM23431,Biomedical Engineering,2,Immunology Lab,Food Microbiology Lab,,,,Pathology and Microbiology
64,PH23231,Biomedical Engineering,2,Physics LAB - 1,Physics LAB - 2,,,,Physics for Bioscience
65,BM23632,Biomedical Engineering,1,Medical Image Processing Lab,,,,,Physiological Modeling Laboratory
66,BM23332,Biomedical Engineering,1,Power Electronics Lab,,,,,Sensors and Measurements
67,BM23531,Biomedical Engineering,1,Medical Image Processing Lab,,,,,Signals and Systems Analysis
68,MX23322,Biomedical Engineering,1,Diagnostic and Therapeutic Equipment Lab,,,,,Training in Healthcare Sector
